epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0637,1.3349,25.8191,2.46846,0.00678,0.93939,0.13253,0.03912,1.20635,27.161,2.42222,0.000469224,0.000469224,0.000469224
2,48.4798,1.22715,23.6406,2.23909,0.08433,0.35411,0.09875,0.04213,1.26038,23.0972,2.28913,0.000929956,0.000929956,0.000929956
3,60.4512,1.18233,24.1518,2.14794,0.10963,0.50505,0.13133,0.04623,1.30709,33.3362,2.15258,0.00137497,0.00137497,0.00137497
4,72.1174,1.14439,22.9702,2.07221,0.0949,0.37374,0.09571,0.03072,1.26666,22.2458,2.1434,0.00135826,0.00135826,0.00135826
5,84.1289,1.17544,22.6351,2.12553,0.58194,0.26263,0.19135,0.08888,1.14246,22.0743,2.18337,0.00133469,0.00133469,0.00133469
6,96.1139,1.16827,23.1829,2.09091,0.05289,0.32032,0.06063,0.01637,1.21304,24.8566,2.09488,0.00131111,0.00131111,0.00131111
7,108.06,1.15179,22.6757,2.10324,0.34927,0.12121,0.03008,0.00823,1.24054,26.0823,2.27577,0.00128753,0.00128753,0.00128753
8,120.027,1.18708,22.4051,2.17031,0.74982,0.18182,0.08646,0.03089,1.1442,26.055,2.14729,0.00126395,0.00126395,0.00126395
9,131.41,1.1811,22.5005,2.1105,0.37609,0.18182,0.07235,0.02659,1.07452,23.6394,2.04462,0.00124037,0.00124037,0.00124037
10,143.164,1.15704,22.4339,2.1266,0.36983,0.27273,0.09723,0.02522,1.14291,23.0137,2.09176,0.00121679,0.00121679,0.00121679
11,154.495,1.12947,22.582,2.02337,0.38304,0.21212,0.08971,0.02829,1.06381,22.7889,2.01914,0.00119322,0.00119322,0.00119322
12,166.232,1.13984,22.4684,2.08532,0.79921,0.21212,0.13294,0.04506,1.02412,23.1837,1.96699,0.00116964,0.00116964,0.00116964
13,178.109,1.15852,22.1447,2.08923,0.79694,0.19486,0.14346,0.05103,0.98295,22.6974,1.87059,0.00114606,0.00114606,0.00114606
14,189.622,1.12943,22.2389,2.09397,0.76342,0.18182,0.14974,0.05365,1.10356,22.664,1.95202,0.00112248,0.00112248,0.00112248
15,200.802,1.14009,21.8513,2.10854,0.38061,0.21212,0.20818,0.05633,1.07837,21.7001,2.0457,0.0010989,0.0010989,0.0010989
16,212.016,1.09379,21.3811,2.04584,0.39391,0.24242,0.17309,0.03799,1.13758,21.7586,2.12297,0.00107532,0.00107532,0.00107532
17,223.817,1.09088,21.8674,2.02692,0.04388,0.32323,0.17424,0.05617,1.06713,22.3226,2.04261,0.00105174,0.00105174,0.00105174
18,235.175,1.10917,21.9766,2.04731,0.38939,0.21212,0.12518,0.0552,1.07337,21.5422,2.01114,0.00102817,0.00102817,0.00102817
19,246.792,1.0871,21.5956,2.04166,0.46638,0.21212,0.13444,0.05798,1.10043,21.4233,2.04709,0.00100459,0.00100459,0.00100459
20,258.291,1.14395,21.5185,2.08812,0.80123,0.21212,0.13499,0.0501,1.14565,22.6392,2.13269,0.000981008,0.000981008,0.000981008
21,270.182,1.13141,21.4051,2.05335,0.81722,0.20019,0.134,0.04146,1.11422,22.8216,2.10602,0.00095743,0.00095743,0.00095743
22,281.458,1.11826,21.6218,2.04761,0.80391,0.21209,0.12971,0.05802,1.05464,22.3642,2.03173,0.000933851,0.000933851,0.000933851
23,293.033,1.09627,20.4629,2.00523,0.80187,0.21212,0.1331,0.06263,1.04572,21.0838,2.00696,0.000910273,0.000910273,0.000910273
24,304.636,1.1363,20.3862,2.06372,0.43364,0.18182,0.13106,0.04592,1.07674,21.102,2.06478,0.000886694,0.000886694,0.000886694
25,315.816,1.10525,20.4402,2.01561,0.45423,0.32323,0.1619,0.06637,1.07119,21.0778,1.99949,0.000863116,0.000863116,0.000863116
26,327.184,1.08511,20.7969,2.01771,0.4089,0.35354,0.19308,0.06735,1.05491,21.6037,1.95338,0.000839537,0.000839537,0.000839537
27,338.455,1.08801,20.7266,2.03497,0.38028,0.27273,0.13907,0.03961,1.08405,22.2866,2.05322,0.000815959,0.000815959,0.000815959
28,350.174,1.09718,20.3291,2.00461,0.77919,0.18182,0.15743,0.07414,1.07134,21.3241,2.01919,0.00079238,0.00079238,0.00079238
29,361.674,1.10511,21.4572,2.01249,0.42673,0.24242,0.20094,0.07306,1.02379,21.7626,1.93136,0.000768802,0.000768802,0.000768802
30,372.837,1.05771,20.7133,1.98866,0.42267,0.35354,0.16518,0.05902,1.00443,22.5673,1.92064,0.000745223,0.000745223,0.000745223
31,384.639,1.06323,20.3316,2.01784,0.06517,0.5202,0.13794,0.04077,1.05665,22.8878,1.98365,0.000721645,0.000721645,0.000721645
32,396.107,1.04649,20.6229,1.98572,0.05761,0.35354,0.12479,0.05247,1.07258,22.3211,2.04455,0.000698066,0.000698066,0.000698066
33,407.588,1.07092,20.3495,2.03008,0.3888,0.24242,0.18772,0.06736,1.04753,21.2371,2.05379,0.000674488,0.000674488,0.000674488
