epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.941,1.41629,10.9513,1.62431,0.00106,0.5,0.04332,0.02778,1.05657,3.61283,1.462,0.000248794,0.000248794,0.000248794
2,20.1872,1.63328,11.014,1.78469,0.00126,0.5,0.23767,0.12824,1.20002,3.72649,1.57396,0.000496793,0.000496793,0.000496793
3,26.8579,1.47449,8.19447,1.56322,0.00274,0.5,0.05444,0.02055,1.74752,3.53991,1.83699,0.000736333,0.000736333,0.000736333
4,33.3413,1.64067,10.6332,1.58701,0.00443,0.5,0.07159,0.0219,1.92918,3.81495,2.13189,0.000730935,0.000730935,0.000730935
5,39.3641,1.84557,9.88137,1.77264,0.00375,0.27778,0.01077,0.00623,2.08949,3.81992,2.61749,0.000718246,0.000718246,0.000718246
6,45.6233,1.57129,10.1217,1.45831,0.0042,0.38889,0.01224,0.00275,2.46779,4.0195,2.82991,0.000705558,0.000705558,0.000705558
7,52.0852,1.54063,9.35951,1.60407,0.00458,0.5,0.0218,0.01413,1.53768,3.82787,2.00485,0.000692869,0.000692869,0.000692869
8,58.329,1.60088,8.58148,1.69823,0.0045,0.5,0.02415,0.00592,2.50057,4.29664,2.72961,0.000680181,0.000680181,0.000680181
9,64.6232,1.53144,9.91059,1.58467,0.00453,0.5,0.05554,0.01992,2.33785,3.89575,2.70962,0.000667492,0.000667492,0.000667492
10,70.8647,1.65263,8.04272,1.68495,0.0049,0.58333,0.14737,0.05484,1.79737,3.52659,2.07947,0.000654804,0.000654804,0.000654804
11,76.9596,1.44039,7.73801,1.50662,0.00456,0.58333,0.13522,0.03945,1.88585,3.44689,2.06879,0.000642115,0.000642115,0.000642115
12,83.0299,1.7182,6.5245,1.65159,0.00339,0.5,0.0985,0.03933,1.929,3.3849,2.10534,0.000629427,0.000629427,0.000629427
13,89.4374,1.55407,8.90736,1.4886,0.8624,0.12694,0.41445,0.20786,1.37492,2.92903,1.73332,0.000616738,0.000616738,0.000616738
14,95.8933,1.62447,8.09601,1.68084,0.95347,0.16667,0.31839,0.16409,1.84467,2.94327,2.13619,0.00060405,0.00060405,0.00060405
15,102.178,1.52206,8.64755,1.5664,0.97591,0.16667,0.28988,0.16602,1.90606,2.91012,2.11217,0.000591361,0.000591361,0.000591361
16,108.591,1.60883,7.27784,1.64987,0.98826,0.16667,0.21688,0.09999,1.85294,3.01423,2.25128,0.000578672,0.000578672,0.000578672
17,114.613,1.37034,10.0584,1.41534,0.21769,0.15987,0.14375,0.07034,1.99471,3.42383,2.28561,0.000565984,0.000565984,0.000565984
18,120.985,1.66352,8.06577,1.67744,0.153,0.16667,0.14926,0.07268,1.78574,3.04151,2.0335,0.000553296,0.000553296,0.000553296
19,127.374,1.51742,6.21223,1.53021,0.66667,0.16342,0.18565,0.09915,1.81224,3.0747,2.19173,0.000540607,0.000540607,0.000540607
20,133.555,1.75538,7.02143,1.62635,0.21862,0.16126,0.16401,0.10251,1.92708,3.03138,2.40604,0.000527919,0.000527919,0.000527919
21,139.76,1.44672,9.18604,1.37642,0.41114,0.27778,0.26723,0.12566,1.80408,2.7514,2.38043,0.00051523,0.00051523,0.00051523
22,146.068,1.4657,6.52971,1.47785,1,0.16526,0.24272,0.13363,2.06808,2.84018,2.52091,0.000502541,0.000502541,0.000502541
23,152.263,1.42684,9.22503,1.3773,0.50761,0.08333,0.19645,0.11478,2.14285,3.03856,2.42183,0.000489853,0.000489853,0.000489853
24,158.743,1.36017,7.82867,1.31902,0.20947,0.83333,0.38771,0.1989,1.61781,2.94004,2.04835,0.000477165,0.000477165,0.000477165
25,165.271,1.53793,7.68562,1.58578,0.59922,0.44222,0.49224,0.20553,1.50881,2.64574,1.9029,0.000464476,0.000464476,0.000464476
26,171.744,1.15494,9.42011,1.17888,0.96321,0.16667,0.36854,0.19798,1.46741,2.7215,1.90941,0.000451787,0.000451787,0.000451787
27,177.913,1.45768,7.36555,1.44832,0.87662,0.16667,0.44401,0.22576,1.41229,2.85975,1.94045,0.000439099,0.000439099,0.000439099
28,184.333,1.42775,7.24163,1.4201,0.48069,0.38889,0.30867,0.152,1.52836,3.13298,2.03385,0.000426411,0.000426411,0.000426411
29,190.558,1.08904,7.19537,1.18626,0.55496,0.38889,0.26795,0.12311,1.46859,3.15451,2.00419,0.000413722,0.000413722,0.000413722
30,196.954,1.16422,7.74883,1.28803,0.60481,0.29358,0.36485,0.22133,1.41795,2.47121,1.82005,0.000401033,0.000401033,0.000401033
31,203.491,1.38795,6.47054,1.42532,1,0.16477,0.381,0.28692,1.3189,2.42125,1.71363,0.000388345,0.000388345,0.000388345
32,209.891,1.38487,7.37642,1.41058,0.99319,0.16667,0.29955,0.22401,1.37519,2.51147,1.7252,0.000375656,0.000375656,0.000375656
33,216.507,1.25564,6.40527,1.27167,0.20837,0.28616,0.38502,0.2334,1.42666,2.5798,1.77288,0.000362968,0.000362968,0.000362968
34,222.723,1.00832,7.47628,1.12104,0.87883,0.5,0.56073,0.27738,1.20419,2.32386,1.65591,0.00035028,0.00035028,0.00035028
35,228.919,1.06751,6.18565,1.14496,0.82511,0.5,0.58585,0.28495,1.29869,2.31167,1.61556,0.000337591,0.000337591,0.000337591
36,235.18,1.09844,7.36705,1.1342,0.99288,0.16667,0.27833,0.19754,1.33372,2.25047,1.72446,0.000324903,0.000324903,0.000324903
37,241.485,1.35136,5.5962,1.39046,0.29868,0.27778,0.2978,0.22308,1.35345,2.17414,1.8713,0.000312214,0.000312214,0.000312214
38,247.459,1.08228,6.35119,1.26875,0.35099,0.27778,0.37608,0.27199,1.22798,2.41801,1.6772,0.000299525,0.000299525,0.000299525
39,253.77,1.25413,7.03283,1.24866,0.66707,0.27778,0.37478,0.27231,1.21904,3.0111,1.67968,0.000286837,0.000286837,0.000286837
40,260.006,1.10812,5.82171,1.21806,0.3026,0.47171,0.41832,0.26158,1.26292,3.11766,1.80513,0.000274148,0.000274148,0.000274148
41,266.519,1.19374,4.66031,1.30167,0.61736,0.48601,0.44414,0.30039,1.11949,4.13157,1.62835,0.00026146,0.00026146,0.00026146
42,272.656,1.1964,6.15087,1.21933,0.41874,0.83333,0.74422,0.51202,1.11986,3.71628,1.62599,0.000248772,0.000248772,0.000248772
43,278.7,1.14627,6.65776,1.19885,0.71649,0.79356,0.78085,0.57261,1.27465,2.56044,1.74976,0.000236083,0.000236083,0.000236083
44,285.104,0.94984,7.48969,1.01336,0.80598,0.67096,0.75743,0.51533,1.42436,2.1387,1.84321,0.000223395,0.000223395,0.000223395
45,291.836,1.17535,5.6363,1.20861,0.68703,0.62621,0.72056,0.47574,1.4856,2.12133,1.84947,0.000210706,0.000210706,0.000210706
46,298.189,1.10262,5.04224,1.27757,0.79466,0.61111,0.74106,0.48074,1.52746,2.30775,1.8341,0.000198018,0.000198018,0.000198018
47,304.722,0.99814,5.3095,1.09801,0.72946,0.61111,0.71427,0.5018,1.50349,2.56759,1.76472,0.000185329,0.000185329,0.000185329
48,310.83,1.12905,5.14441,1.20495,0.66408,0.61111,0.71507,0.53962,1.46266,2.85924,1.66057,0.000172641,0.000172641,0.000172641
49,317.009,1.12545,5.50097,1.27057,0.54748,0.61111,0.57699,0.42959,1.33724,2.78443,1.57249,0.000159952,0.000159952,0.000159952
50,323.526,1.14496,4.25762,1.28376,0.42397,0.83333,0.55521,0.41216,1.19385,2.94816,1.57454,0.000147264,0.000147264,0.000147264
51,334.259,0.73888,8.45994,0.91603,0.49905,0.81765,0.5262,0.366,1.16736,3.55105,1.56981,0.000134575,0.000134575,0.000134575
52,341.694,0.84533,7.26799,0.98247,0.49023,0.83333,0.55565,0.42925,1.23135,3.64516,1.58968,0.000121887,0.000121887,0.000121887
53,348.287,0.78657,8.88705,0.92375,0.67682,0.61111,0.61381,0.47739,1.12664,2.95704,1.56558,0.000109198,0.000109198,0.000109198
54,354.61,0.71278,8.52191,0.91241,0.73498,0.61111,0.61051,0.48952,1.0449,2.8881,1.52977,9.65095e-05,9.65095e-05,9.65095e-05
55,360.985,0.62066,8.83417,0.77738,0.7958,0.61111,0.77776,0.61697,1.07738,2.51693,1.56995,8.3821e-05,8.3821e-05,8.3821e-05
56,367.249,0.78909,8.60506,0.8999,0.79777,0.61111,0.77867,0.63086,1.07438,2.27224,1.53084,7.11325e-05,7.11325e-05,7.11325e-05
57,373.396,0.65251,9.46241,0.81167,0.80291,0.61111,0.74835,0.66872,1.0147,2.218,1.46235,5.8444e-05,5.8444e-05,5.8444e-05
58,379.883,0.67814,10.2284,0.83573,0.78399,0.61111,0.7272,0.62878,0.99998,2.24367,1.43736,4.57555e-05,4.57555e-05,4.57555e-05
59,386.347,0.669,9.42681,0.85061,0.78305,0.61111,0.75031,0.62991,0.98789,2.21616,1.42544,3.3067e-05,3.3067e-05,3.3067e-05
60,392.594,0.6985,8.3126,0.89161,0.77082,0.61111,0.74843,0.67125,0.98141,2.23664,1.41696,2.03785e-05,2.03785e-05,2.03785e-05
