epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,509.925,1.93085,11.9596,1.92159,0.81381,0.21212,0.15111,0.05077,2.09579,12.7954,2.04422,0.000462281,0.000462281,0.000462281
43,521.859,1.95222,12.1701,1.94587,0.81971,0.24242,0.15728,0.04951,2.06875,12.9185,2.02066,0.000438703,0.000438703,0.000438703
44,533.77,1.89098,12.3426,1.92368,0.78246,0.21212,0.1315,0.03924,2.135,13.2908,2.11246,0.000415124,0.000415124,0.000415124
45,546.866,1.9074,11.8888,1.96531,0.45246,0.21212,0.12455,0.03865,2.14171,12.9317,2.1387,0.000391546,0.000391546,0.000391546
46,558.442,1.86117,11.6759,1.90563,0.44036,0.21212,0.12723,0.05212,2.00649,12.4718,2.01543,0.000367967,0.000367967,0.000367967
47,570.655,1.83356,11.9214,1.90826,0.8155,0.24242,0.16618,0.0537,2.0062,12.449,2.04086,0.000344389,0.000344389,0.000344389
48,584.335,1.95703,11.5468,1.99356,0.79431,0.21212,0.13929,0.05242,2.00859,12.6296,2.05253,0.00032081,0.00032081,0.00032081
49,596.395,1.84416,11.5954,1.90728,0.83066,0.23514,0.16392,0.05015,2.09347,12.9656,2.11526,0.000297232,0.000297232,0.000297232
50,608.428,1.84343,11.8675,1.91873,0.81047,0.21212,0.13311,0.03948,2.09019,13.0099,2.145,0.000273654,0.000273654,0.000273654
51,619.838,1.83854,11.4969,1.94177,0.77659,0.18182,0.13147,0.04425,2.1067,12.753,2.15294,0.000250075,0.000250075,0.000250075
52,630.698,1.79228,11.4857,1.91014,0.4363,0.21212,0.11544,0.04459,2.03705,12.6386,2.08508,0.000226497,0.000226497,0.000226497
53,641.555,1.7626,11.2181,1.87229,0.46068,0.22519,0.14036,0.05284,1.94298,12.2219,2.03566,0.000202918,0.000202918,0.000202918
54,652.456,1.82058,11.1662,1.89528,0.79715,0.21453,0.14871,0.05327,1.98989,12.5209,2.04337,0.00017934,0.00017934,0.00017934
55,663.252,1.77587,11.2835,1.83479,0.461,0.21212,0.14344,0.0484,1.97501,12.8504,2.0216,0.000155761,0.000155761,0.000155761
56,674.055,1.74238,11.1124,1.84391,0.79195,0.18182,0.13935,0.04723,1.94138,12.7192,1.99758,0.000132183,0.000132183,0.000132183
57,684.944,1.81374,11.027,1.8639,0.80262,0.20891,0.13543,0.04848,1.92195,12.5904,1.97663,0.000108604,0.000108604,0.000108604
58,695.856,1.75509,11.0897,1.82878,0.8013,0.22627,0.14204,0.05383,1.93231,12.4047,1.98021,8.50255e-05,8.50255e-05,8.50255e-05
59,706.738,1.72437,10.8667,1.83467,0.48242,0.24242,0.14969,0.05382,1.92025,12.5397,1.96757,6.1447e-05,6.1447e-05,6.1447e-05
60,717.606,1.82786,11.0967,1.89053,0.47819,0.24242,0.14974,0.05409,1.92027,12.5948,1.96424,3.78685e-05,3.78685e-05,3.78685e-05
