epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8411,1.44312,66.191,1.63134,0.00113,0.5,0.07595,0.02977,0.92402,22.3682,1.46845,0.000248794,0.000248794,0.000248794
2,20.0217,1.75857,61.7722,1.85467,0.00141,0.5,0.0933,0.0486,1.08996,21.8639,1.55553,0.000498876,0.000498876,0.000498876
3,26.6266,1.47043,46.4785,1.65031,0.00254,0.5,0.2434,0.05978,1.24357,21.2859,1.63327,0.000742615,0.000742615,0.000742615
4,33.144,1.53216,60.1966,1.71195,0.00404,0.5,0.11274,0.07853,1.17095,20.1768,1.48562,0.000740451,0.000740451,0.000740451
5,39.1841,1.83882,58.0167,1.92866,0.00458,0.5,0.16509,0.09259,1.79542,20.3825,1.96935,0.000730935,0.000730935,0.000730935
6,45.5831,1.5758,58.3499,1.54505,0.0032,0.5,0.16819,0.09002,1.81702,20.9,1.81512,0.000721418,0.000721418,0.000721418
7,52.0477,1.6681,51.966,1.70464,0.60041,0.16667,0.16765,0.13338,1.56531,18.9494,1.6422,0.000711902,0.000711902,0.000711902
8,58.3042,1.74917,49.3088,1.66443,0.87376,0.16667,0.17008,0.10937,1.89382,18.6828,2.07121,0.000702385,0.000702385,0.000702385
9,64.7735,1.54038,53.924,1.54965,0.79374,0.16667,0.1704,0.04709,1.7483,26.0095,2.33041,0.000692869,0.000692869,0.000692869
10,71.2631,1.74458,48.4288,1.77141,0.87209,0.16667,0.15557,0.06673,1.70802,22.7119,2.2911,0.000683353,0.000683353,0.000683353
11,77.4961,1.42396,41.0164,1.54595,0.76595,0.16667,0.12914,0.07822,1.92253,25.9145,2.35435,0.000673836,0.000673836,0.000673836
12,83.7618,1.67104,36.8869,1.6654,0.21225,0.27778,0.24104,0.13809,1.67995,16.4841,2.07545,0.00066432,0.00066432,0.00066432
13,90.3832,1.65777,46.3468,1.62476,0.87818,0.16667,0.23191,0.10106,1.84395,15.9602,2.28014,0.000654804,0.000654804,0.000654804
14,96.929,1.73578,42.7964,1.70974,0.88304,0.16667,0.20804,0.12326,1.82184,17.075,2.10475,0.000645287,0.000645287,0.000645287
15,103.335,1.60985,44.3234,1.55251,0.80965,0.08333,0.13193,0.0502,1.98969,19.5496,2.0869,0.000635771,0.000635771,0.000635771
16,109.865,1.64459,39.177,1.59932,0.74937,0.16667,0.11963,0.04633,1.92577,28.9497,2.23303,0.000626254,0.000626254,0.000626254
17,115.982,1.53844,51.9873,1.49616,0.13422,0.27778,0.15166,0.07209,2.23998,38.6117,2.54751,0.000616738,0.000616738,0.000616738
