model,strategy,defect,n,annotated_count,tp,fp,fn,precision,recall,f1
qwen2_vl_7b,freeform_nice_critic,discoloration,52,15,6,4,9,0.6,0.4,0.48
qwen2_vl_7b,freeform_nice_critic,leaking,52,0,0,0,0,,,
qwen2_vl_7b,freeform_nice_critic,mold,52,4,1,0,3,1.0,0.25,0.4
qwen2_vl_7b,freeform_nice_critic,macro,52,,,,,,,0.3055
qwen2_vl_7b,logit_per_defect,wrinkling,52,14,7,36,7,0.1628,0.5,0.2456
qwen2_vl_7b,logit_per_defect,visible_cut,52,13,7,5,6,0.5833,0.5385,0.56
qwen2_vl_7b,logit_per_defect,bruising,52,8,5,31,3,0.1389,0.625,0.2273
qwen2_vl_7b,logit_per_defect,discoloration,52,15,11,13,4,0.4583,0.7333,0.5641
qwen2_vl_7b,logit_per_defect,leaking,52,0,0,1,0,,,
qwen2_vl_7b,logit_per_defect,mold,52,4,4,7,0,0.3636,1.0,0.5333
qwen2_vl_7b,logit_per_defect,macro,52,,,,,,,0.4261
