epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3654,0.56668,21.1805,1.23127,0.62841,0.6964,0.66744,0.43717,0.56343,14.5938,1.1716,0.000473048,0.000473048,0.000473048
2,92.5737,0.58501,15.3095,1.31684,0.33994,0.59419,0.42041,0.22222,0.67761,30.0124,1.32512,0.000933717,0.000933717,0.000933717
3,121.199,0.64291,13.5847,1.37755,0.46515,0.87654,0.68981,0.39704,0.68101,23.6823,1.37551,0.00137867,0.00137867,0.00137867
4,149.761,0.63237,13.2743,1.37082,0.49715,0.77208,0.61592,0.35534,0.73016,27.7932,1.49289,0.00135826,0.00135826,0.00135826
5,178.091,0.62148,12.6919,1.3655,0.88881,0.6048,0.63184,0.45678,0.545,10.926,1.20283,0.00133469,0.00133469,0.00133469
6,206.849,0.61099,11.5936,1.36415,0.88643,0.56509,0.6807,0.44383,0.63134,13.089,1.31965,0.00131111,0.00131111,0.00131111
7,235.6,0.60766,11.7141,1.29751,0.60924,0.73158,0.63095,0.40271,0.60665,13.3271,1.23407,0.00128753,0.00128753,0.00128753
8,264.486,0.62009,11.7946,1.32988,0.50275,0.87654,0.68116,0.38047,0.75808,13.4284,1.37448,0.00126395,0.00126395,0.00126395
9,292.8,0.60425,11.5923,1.31538,0.6159,0.65895,0.68104,0.49002,0.46658,10.5889,1.08997,0.00124037,0.00124037,0.00124037
10,321.256,0.59388,11.4001,1.30663,0.54612,0.67982,0.64265,0.4098,0.6258,15.233,1.25416,0.00121679,0.00121679,0.00121679
11,349.815,0.59124,10.4401,1.29329,0.48202,0.61834,0.61645,0.40512,0.62533,12.3567,1.21902,0.00119322,0.00119322,0.00119322
12,377.98,0.56746,9.66638,1.26724,0.64262,0.82175,0.6673,0.40872,0.67887,11.4218,1.33279,0.00116964,0.00116964,0.00116964
13,405.76,0.56203,9.60907,1.2505,0.6923,0.7334,0.68642,0.4971,0.5397,8.854,1.14907,0.00114606,0.00114606,0.00114606
14,434.34,0.57181,9.91501,1.27994,0.65562,0.74902,0.64414,0.4347,0.54462,9.1804,1.15533,0.00112248,0.00112248,0.00112248
15,462.894,0.55994,9.23169,1.24909,0.67551,0.71559,0.68827,0.48078,0.57262,9.22677,1.15787,0.0010989,0.0010989,0.0010989
16,491.643,0.54874,9.40927,1.21872,0.67366,0.73459,0.67782,0.45434,0.6324,8.90107,1.23515,0.00107532,0.00107532,0.00107532
17,520.358,0.5505,8.92882,1.24925,0.66011,0.87256,0.81936,0.52229,0.64764,7.69386,1.24795,0.00105174,0.00105174,0.00105174
18,549.691,0.53726,8.9595,1.22222,0.93858,0.60565,0.68713,0.50977,0.53595,7.75523,1.10663,0.00102817,0.00102817,0.00102817
19,578.119,0.51827,8.34525,1.19802,0.76469,0.74142,0.83478,0.55265,0.61997,7.20464,1.15158,0.00100459,0.00100459,0.00100459
20,606.373,0.53486,8.37573,1.23279,0.73501,0.7284,0.7672,0.47406,0.73925,8.33355,1.31288,0.000981008,0.000981008,0.000981008
21,634.586,0.5331,8.38496,1.21921,0.79411,0.74087,0.84311,0.49099,0.64032,9.40668,1.25312,0.00095743,0.00095743,0.00095743
22,662.906,0.53074,8.42856,1.21659,0.61228,0.74074,0.71064,0.4768,0.64713,7.95984,1.20094,0.000933851,0.000933851,0.000933851
23,691.16,0.52477,8.19431,1.19889,0.68503,0.8444,0.76583,0.51808,0.62125,7.44184,1.20395,0.000910273,0.000910273,0.000910273
24,720.192,0.50823,8.02431,1.20853,0.71067,0.74074,0.74218,0.51511,0.56182,6.88929,1.16111,0.000886694,0.000886694,0.000886694
25,748.63,0.5259,7.88209,1.21016,0.77386,0.80884,0.79753,0.49407,0.67344,8.83819,1.27802,0.000863116,0.000863116,0.000863116
26,777.249,0.49377,7.6796,1.17112,0.66221,0.7248,0.69323,0.46949,0.58825,7.74367,1.16751,0.000839537,0.000839537,0.000839537
27,805.947,0.51319,7.51605,1.1942,0.73327,0.74074,0.69694,0.46126,0.6577,7.99587,1.23962,0.000815959,0.000815959,0.000815959
28,833.655,0.49744,7.10787,1.16917,0.72311,0.7475,0.74708,0.48945,0.62828,6.99014,1.18572,0.00079238,0.00079238,0.00079238
29,862.749,0.52055,7.36037,1.19203,0.63375,0.62963,0.72976,0.53664,0.54311,7.02597,1.11181,0.000768802,0.000768802,0.000768802
30,890.51,0.48862,7.02128,1.13661,0.78229,0.74146,0.75108,0.50024,0.65475,6.94981,1.22149,0.000745223,0.000745223,0.000745223
31,918.42,0.50039,7.25969,1.19107,0.89708,0.75309,0.79523,0.54848,0.56233,6.83895,1.15587,0.000721645,0.000721645,0.000721645
32,946.775,0.47173,6.89499,1.16604,0.89498,0.75309,0.81141,0.53378,0.62386,6.88945,1.22367,0.000698066,0.000698066,0.000698066
33,975.898,0.49703,7.1112,1.21045,0.76315,0.73291,0.76039,0.51734,0.60042,6.34664,1.15281,0.000674488,0.000674488,0.000674488
