epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1908,1.40599,43.9081,1.59989,0.00113,0.5,0.04141,0.01891,0.93002,14.561,1.3956,0.000248794,0.000248794,0.000248794
2,20.462,1.70123,41.2365,1.76077,0.00131,0.5,0.08594,0.04324,1.12242,14.4512,1.53262,0.000498876,0.000498876,0.000498876
3,27.0206,1.51533,30.9056,1.64524,0.0027,0.5,0.20379,0.12229,1.26083,14.3456,1.45301,0.000742615,0.000742615,0.000742615
4,33.7204,1.43756,40.8264,1.59838,0.00427,0.83333,0.06108,0.02625,1.44006,14.4028,1.63742,0.000740451,0.000740451,0.000740451
5,39.6914,1.81408,36.8292,1.95485,0.00387,0.5,0.05011,0.02521,1.84172,15.2178,2.60498,0.000730935,0.000730935,0.000730935
6,46.0695,1.73534,41.1552,1.73457,0.00498,0.83333,0.15593,0.06222,2.13791,14.1453,2.66015,0.000721418,0.000721418,0.000721418
7,52.6294,1.58993,34.4492,1.65685,0.00489,0.5,0.18773,0.11027,1.74057,12.9997,1.91669,0.000711902,0.000711902,0.000711902
8,58.8985,1.79627,32.4416,1.74203,0.00442,0.5,0.14289,0.06171,1.68311,13.6343,2.08722,0.000702385,0.000702385,0.000702385
9,65.2424,1.55513,37.0977,1.60459,0.00601,0.83333,0.24994,0.07176,1.80124,12.868,2.15481,0.000692869,0.000692869,0.000692869
10,71.5311,1.8371,31.2959,1.82811,0.00439,0.72222,0.12575,0.03157,1.8841,14.2219,2.01866,0.000683353,0.000683353,0.000683353
11,77.535,1.45903,29.714,1.55564,0.00682,0.91667,0.13532,0.06821,1.62873,13.8914,1.82032,0.000673836,0.000673836,0.000673836
12,83.6243,1.61551,23.9803,1.66026,0.33333,0.14059,0.17612,0.08093,1.56038,13.1144,1.82154,0.00066432,0.00066432,0.00066432
13,90.1991,1.62423,34.2694,1.62114,0.97433,0.16667,0.24624,0.11122,1.52719,11.8135,1.86432,0.000654804,0.000654804,0.000654804
14,96.5759,1.58433,30.0148,1.60628,0.66001,0.16667,0.31123,0.1186,1.74279,10.8612,2.1214,0.000645287,0.000645287,0.000645287
15,102.919,1.61048,30.036,1.56283,0.65813,0.16667,0.32843,0.12441,1.84811,11.673,2.11711,0.000635771,0.000635771,0.000635771
16,109.448,1.73817,26.4069,1.62039,0.65301,0.16667,0.21436,0.09265,2.11029,10.4,2.31793,0.000626254,0.000626254,0.000626254
17,115.425,1.61144,36.8843,1.63232,0.54556,0.16667,0.1786,0.09372,2.50619,10.7271,2.83284,0.000616738,0.000616738,0.000616738
18,121.577,1.73425,28.8671,1.75507,0.96127,0.16667,0.1841,0.11298,1.87239,11.9758,2.3204,0.000607222,0.000607222,0.000607222
19,128.004,1.5867,23.2182,1.60568,0.88627,0.16667,0.19581,0.12022,1.60165,12.419,2.15054,0.000597705,0.000597705,0.000597705
20,134.216,1.79614,24.3608,1.70179,0.64905,0.16667,0.2035,0.11475,1.83896,10.3096,2.29451,0.000588189,0.000588189,0.000588189
21,140.279,1.48376,31.4875,1.39306,0.00611,0.91667,0.23836,0.13055,1.57223,11.9764,1.89782,0.000578672,0.000578672,0.000578672
22,146.428,1.55333,22.8954,1.57688,0.29743,0.5,0.29245,0.15058,1.49745,9.9826,1.81601,0.000569156,0.000569156,0.000569156
