epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6144,1.4419,9.62527,1.68152,0.01744,0.25,0.03062,0.02075,1.07776,3.6997,1.52313,0.000248794,0.000248794,0.000248794
2,19.9654,1.58615,10.0672,1.76679,0.0248,0.3125,0.21107,0.17818,1.16633,3.73424,1.60654,0.000496793,0.000496793,0.000496793
3,26.5794,1.48127,7.39,1.74968,0.007,0.625,0.05469,0.03162,1.66049,3.53901,1.83531,0.000736333,0.000736333,0.000736333
4,33.1368,1.58598,9.12115,1.67407,0.00265,0.375,0.06396,0.01234,2.08611,3.5178,2.52537,0.000730935,0.000730935,0.000730935
5,39.2153,1.87872,9.11494,1.85397,0.00445,0.75,0.02459,0.0151,2.08502,3.52848,2.36322,0.000718246,0.000718246,0.000718246
6,45.6637,1.70944,8.64542,1.63996,0.00376,0.75,0.0772,0.05111,2.03813,3.36031,2.26753,0.000705558,0.000705558,0.000705558
7,52.0945,1.64827,7.61024,1.69564,0.07264,0.125,0.1431,0.08851,1.7914,3.25274,2.13046,0.000692869,0.000692869,0.000692869
8,58.4398,1.82014,7.97811,1.82961,0.91151,0.11727,0.10278,0.0505,1.74467,3.24715,2.16877,0.000680181,0.000680181,0.000680181
9,65.0083,1.60281,8.53389,1.69764,0.59109,0.125,0.11376,0.05195,1.67662,3.93114,2.248,0.000667492,0.000667492,0.000667492
10,71.3801,1.7511,6.38661,1.79469,0.99375,0.125,0.19409,0.08865,1.858,3.43374,2.29864,0.000654804,0.000654804,0.000654804
11,77.565,1.53083,7.08839,1.6214,0.99388,0.125,0.1779,0.09795,1.52646,3.17301,2.0361,0.000642115,0.000642115,0.000642115
12,83.7332,1.60684,5.60031,1.65469,0.98929,0.125,0.16452,0.0792,1.64475,2.98764,2.17947,0.000629427,0.000629427,0.000629427
13,90.3884,1.52875,7.20758,1.66211,0.98305,0.125,0.17927,0.11035,1.66988,2.79084,2.1166,0.000616738,0.000616738,0.000616738
14,96.8655,1.60446,7.21259,1.60845,0.99492,0.125,0.26238,0.13419,1.68026,2.86051,2.02396,0.00060405,0.00060405,0.00060405
15,103.604,1.466,6.92855,1.47268,0.43876,0.125,0.37533,0.21621,1.56768,2.82875,1.81528,0.000591361,0.000591361,0.000591361
16,109.943,1.64212,6.82415,1.59917,0.40124,0.125,0.27757,0.15284,1.4271,3.04426,1.74786,0.000578672,0.000578672,0.000578672
17,116.005,1.64461,9.18838,1.69724,0.40744,0.3125,0.24133,0.13205,1.45721,2.96073,1.80071,0.000565984,0.000565984,0.000565984
18,122.265,1.50699,8.01867,1.56635,0.65765,0.25,0.28127,0.13464,1.38507,4.17255,2.12961,0.000553296,0.000553296,0.000553296
19,128.721,1.40508,5.91643,1.43063,0.43285,0.25,0.27381,0.14171,1.56596,4.35786,2.31848,0.000540607,0.000540607,0.000540607
