epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9618,0.37517,12.9498,1.08127,0.5323,0.80854,0.71401,0.59882,0.31984,12.3863,0.95427,0.000473048,0.000473048,0.000473048
2,53.1122,0.4321,9.94568,1.10889,0.46894,0.56815,0.56355,0.40842,0.45196,16.6629,1.24562,0.000930584,0.000930584,0.000930584
3,78.8413,0.52587,10.594,1.22514,0.8645,0.52796,0.55069,0.4133,0.45257,12.4418,1.26187,0.00136926,0.00136926,0.00136926
4,104.561,0.51171,10.1423,1.23633,0.76615,0.33453,0.36852,0.27785,0.88428,18.4676,1.7657,0.00134412,0.00134412,0.00134412
5,130.282,0.55262,9.92864,1.27,0.7089,0.35603,0.36212,0.26864,0.71008,18.9481,1.53158,0.00131582,0.00131582,0.00131582
6,156.018,0.53144,9.07179,1.21916,0.93967,0.52794,0.68161,0.52765,0.55406,11.4551,1.412,0.00128753,0.00128753,0.00128753
7,181.936,0.50257,8.8229,1.22235,0.58092,0.76543,0.80235,0.56555,0.48083,8.46351,1.19109,0.00125923,0.00125923,0.00125923
8,207.901,0.51046,8.75962,1.19602,0.95675,0.56269,0.8042,0.60098,0.44102,7.04853,1.12457,0.00123094,0.00123094,0.00123094
9,233.757,0.48655,8.25993,1.18596,0.94764,0.55713,0.72585,0.554,0.43084,8.59102,1.16306,0.00120265,0.00120265,0.00120265
10,260.186,0.46384,7.43337,1.18554,0.59028,0.75309,0.81489,0.65917,0.40419,6.32556,1.15244,0.00117435,0.00117435,0.00117435
11,286.088,0.47028,7.42707,1.17505,0.72982,0.55262,0.54275,0.36498,0.51338,9.97325,1.22414,0.00114606,0.00114606,0.00114606
12,312.063,0.44272,6.86673,1.14067,0.62606,0.71366,0.72347,0.55147,0.44458,5.97688,1.20381,0.00111776,0.00111776,0.00111776
13,337.864,0.4704,6.84863,1.16753,0.90236,0.59508,0.66631,0.53947,0.41386,6.78255,1.15985,0.00108947,0.00108947,0.00108947
14,363.701,0.43335,7.0494,1.14307,0.94399,0.54964,0.70068,0.55845,0.38468,6.6923,1.06028,0.00106118,0.00106118,0.00106118
15,389.582,0.41866,6.72736,1.11973,0.99683,0.49313,0.73353,0.59485,0.44776,7.99002,1.1567,0.00103288,0.00103288,0.00103288
16,415.406,0.43079,6.94333,1.14036,0.92474,0.61728,0.76697,0.63087,0.38603,6.2202,1.08275,0.00100459,0.00100459,0.00100459
